Fiscal Year,Net Revenue,Service Revenue,Data Processing Revenue,International Transaction Revenue,Other Revenue,Client Incentives,Operating Expenses,Operating Income,Operating Margin,Net Income,Diluted EPS,Operating Cash Flow,Capital Expenditures,Free Cash Flow,VAS Revenue
FY2021,24105,11475,12792,6530,1675,-8367,8301,15804,65.56%,12311,5.63,15227,705,14522,
FY2022,29310,13361,14438,9815,1991,-10295,10497,18813,64.18%,14957,7.00,18849,970,17879,
FY2023,32653,14826,16007,11638,2479,-12297,11653,21000,64.31%,17273,8.28,20755,1059,19696,7200
FY2024,35926,16114,17714,12665,3197,-13764,12331,23595,65.67%,19743,9.73,19950,1257,18693,8800
FY2025,40000,17539,19993,14166,4053,-15751,16006,23994,59.99%,20058,10.20,23059,1482,21577,10900
